Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A899369,"1112 RICHARDINE AVE
AUSTIN 78757
(30.268572006, -97.68618103)",No (contact for more info),03/03/2024,Cat,Domestic Shorthair,Black/White,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899369
A899412,"NAVARRO CREEK ROAD 78617
(30.176489504, -97.586983858)",Yes (come to the shelter),03/04/2024,Dog,Labrador Retriever Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899412
A899585,"5205 N IMPERIAL DR78724
(30.269914996, -97.62245803)",Yes (come to the shelter),03/06/2024,Dog,German Shepherd/Siberian Husky,Black/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899585
A899268,"15000 MAHA ROAD78719
(30.07050998, -97.651873984)",Yes (come to the shelter),03/01/2024,Cat,Domestic Shorthair,Calico,Spayed Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899268
A899382,"AUSTIN 78702
(30.26371, -97.727355)",Yes (come to the shelter),03/03/2024,Cat,Domestic Shorthair Mix,Blue,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899382
A899551,"5201 ROSS ROAD78617
(30.177615993, -97.610182985)",Yes (come to the shelter),03/06/2024,Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899551
A897768,SOUTH TURNSVILLE ROAD 78610,Yes (come to the shelter),03/04/2024,Dog,Australian Cattle Dog/Bloodhound,Brown/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A897768
A899489,"14818 DEAF SMITH BOULEVARD
AUSTIN 78725
(30.231880132, -97.586887879)",Yes (come to the shelter),03/05/2024,Dog,German Shepherd,Tan/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899489
A899623,"5600 CAMERON RD
AUSTIN 78756
(30.313807, -97.704530022)",Yes (come to the shelter),03/07/2024,Dog,Labrador Retriever,Tan/White,Intact Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899623
A899195,"PALO BLANCO LN AUSTIN 78744
(30.1939567, -97.7439501)",Yes (come to the shelter),03/05/2024,Dog,Labrador Retriever,Black/White,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899195
A899424,"9508 NIGHTSTAR DR78617
(30.222567008, -97.667202976)",Yes (come to the shelter),03/04/2024,Cat,Domestic Medium Hair,Brown Tabby,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899424
A899592,"2200 WILLOW CREEK DRIVE
AUSTIN 78741
(30.231301999, -97.731143989)",Yes (come to the shelter),03/06/2024,Cat,Domestic Medium Hair,Brown Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899592
A851732,"3000 BEE CREEK RD
AUSTIN 78669
(30.369686005, -98.040607962)",Yes (come to the shelter),03/07/2024,Dog,Pit Bull,Black/White,Spayed Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A851732
A899377,"WILLIAM CANNON
AUSTIN 78747
(30.156953579, -97.713527895)",Yes (come to the shelter),03/03/2024,Dog,German Shepherd,Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899377
A899386,"1007 OGDEN
AUSTIN 78733
(30.331757013, -97.86200201)",No (contact for more info),03/05/2024,Dog,Labrador Retriever Mix,Black/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899386
A899439,"4475 BRANDT RD
AUSTIN 78744
(30.159396653, -97.771890928)",Yes (come to the shelter),03/04/2024,Dog,Chihuahua Shorthair Mix,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899439
A899535,"20905 GALILEE CT78653
(30.27949702, -97.486740014)",Yes (come to the shelter),03/05/2024,Dog,Labrador Retriever/Harrier,White/Brown,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899535
